cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
,1029277426,,682699857#2,1055855103#1,,92223190#2
,-24372991#0,,-682699857#8,47418248#4,,968060912#0
,23488564#1,,181579922,94094796#7,,273211096#0
,131156057#2,,51937094#0,157214540#0,,97671376#1
,44838841#1,,264070491#1,368086832#3,,-245069170#4
,1241966322,,874155679#4,273211128#0,,-245069170#6
,24053248#0,,408269726#3,21910839#2,,1284334995#3
,-24372990#0,,47982503#1,1196930229,,97671387#0
,-46149604#1,,874155681#0,-401195404,,24061029#0
,-930964332#1,,231876387#0,-395264611#1,,968060905#2
,135195085#2,,263881207,-273211103#0,,240392355#2
,39629447#2,,-181579868#3,31047273#5,,97671474#0
,36688988#0,,42294744#4,157292823#3,,-492442417#2
,396771661#2,,89043373#5,273211141#0,,968060905#0
,350217575#1,,23260750,1244504475#2,,178988161#7
,-171300272#1,,264017278#0,-680762194,,74314562#3
,131156025#2,,262051128#1,156942563#0,,54786433#0
,-682459916,,263955768#0,95396756#1,,856631371#9
,304727992,,93325450#0,727402397#0,,40969574
,-45172800,,92403802#0,35216007#8,,69963033#3
,44883380#2,,-175994167,682712370#0,,40969591#1
,44883383,,41818364#2,1126340243#0,,1031963663#6
,1028258371,,44887720#3,90636496#3,,97671423#1
,45172804#4,,47982496#1,49680676#0,,95274307#0
,46149604#2,,203035385#1,94094852#0,,23488890#1
,44883381#3,,874155676#2,667863961,,1031963663#5
,131025954#3,,-263865429#2,682712366#0,,98247389
,1028689293,,92204258#2,-46151433#1,,97671441
,717183322,,-89423678#1,95396765#4,,97671397#4
,-1028619482,,-93470047,33625902#2,,92223213#2
,22823721#0,,263941940#1,368086844#0,,69963030
,-1028258371,,93325426#1,1031963659,,1284334995#6
,-46149196,,327521905,265176189,,46151739#7
,46149028#0,,682703711#3,31047273#2,,46151739#10
,39629447#0,,254304965,492041977#1,,74314557#2
,680781717,,176046423,314205670#3,,273211156#8
,131025950#1,,145569058#5,368086832#10,,-187797935#1
,-131025954#2,,682699856,265176676,,97671339#2
,-23704735,,-175994173#0,95396823#0,,355240125#3
,-131025963#0,,41520004#1,90636496#6,,40969575
,44838841#0,,181579868#8,368086832#1,,157296623#0
,-46149604#2,,682703711#4,-667863958,,680782196
,44955796#1,,47982503#2,156938703#4,,-46151739#4
,220547267#2,,263935797#3,667863959#0,,95274349#9
,220547267#1,,537438903#0,33621329,,355240125#4
,-257240781,,156643842#0,156938703#1,,968060906#1
,257240781,,-263935797#6,1096310485#0,,69963040#0
,149851229#2,,682699858#0,682712369#2,,240392347#1
,31283076#1,,-31624134#3,264109976,,-95274334#1
,257239021#1,,263865429#0,95396785#2,,264298077#3
,1015165917,,-34951880#2,450523569,,680782194
,1015165917-AddedOffRampEdge,,-263956788#3,-851839123,,-1245147133
,680781430#0,,958539560#0,90795029,,157292833#11
,-44883384#1,,-22989309#1,273211048#2,,97671397#0
,44883384#1,,657500679,228056324#7,,97671428
,23488560#0,,51937092#0,33640827#3,,1031976629#6
,24372978#1,,-34951866,90636496#1,,857738561
,-44838840,,175994173#1,94094830#1,,97671342#1
,1028241263,,-93325433#0,89825912#0,,196380148#0
,131025931#1,,181579868#0,94094801#0,,24061029#5
,-350217575#1,,228056324#0,681548222,,4848945#1
,355202492#1,,254304969#0,94094793#2,,92223213#4
,304727991#1,,51771205#0,-94094819#1,,538982924#0
,31237829#0,,-89423681#1,682261294,,46151739#3
,27241669#1,,93325450#0-AddedOffRampEdge,772804652#0,,46151739#1
,171300274,,41818365,368086832#0,,95274349#3
,-1027009172#1,,264021277#0,157293003#2,,46151426#4
,131156067#1,,682420451#3,38790699#0,,97685639
,257357824,,264017276#1,-273211128#1,,-245069170#1
,31237872,,-231665609,95282554,,820180323
,100102320,,23260642#0,264448292#3,,856631371#10
,173954117,,1155226161,157292793,,-680782188#0
,173954130#1,,41519621#0,94094885#3,,-74314563
,-332634094#2,,874155679#0,33625902#0,,97671431
,1166015104#0-AddedOnRampEdge,,90636489,1051315753#0,,179260411#0
,285454834#1-AddedOnRampEdge,,682699851#1,31046910,,1245989823
,45173876#1,,-379075316,95396785#0,,1055857397#1
,24372991#0,,93325426#0,-95396776#0,,74314555#0
,31283064#1,,34951786#1,95396756#3,,95274385#0
,1268288171,,231876388#0,35216007#5,,273211057#0
,45177385#0,,-92403802#1,314205670#0,,273211091#7
,-863546409#0,,51937092#1,492041977#0,,-680782193#4
,297648255#1,,-92403802#0,43100779#0,,-689924124#4
,779874419#1,,-219973540#1,839784838#1,,-968060906#0
,-45172606#1,,24989806#0,1051315756#1,,24061029#10
,-44883353#1,,993372630,-90795036#4,,-968060907#2
,100226635,,34951714#1,667863952,,856631371#15
,209224915,,33640827#1,264448651#2,,680788589#0
,-44884664#0,,35216114#3,157293040,,97685693#3
,304919605#2,,55063538,-265176189,,60659454#1
,-24372978#0,,682699858#1,817790410,,97685712#3
,24372978#0,,-263941940#1,35216007#9,,97671461#1
,820360609#1,,35216848#3,157293003#0,,74314549#1
,805227609,,682703707,-667863960,,23488886#2
,257357821#3,,145569102#2,94094793#4,,135175652#3
,257357821#4,,-327521905,-265176676,,-97685741
,-44883381#2,,92403859#1,95396843#0,,680781433#0
,44883381#1,,958539563#3,94094793#3,,172598552#2
,680781422,,-682699856,89825913#1,,355240125#2
,-1029277426,,-181579868#9,368086828#9,,538982926#1
,387312970#1,,175994175#1,153190946,,893375978#0
,743545404#0,,44887721#1,438405583#4,,-40969574
,46149611#1,,33637414,368086830#0,,240392355#1
,548903448#1,,-263935798#3,31047009#2,,-820178850
,44956025#1,,264021277#2,273211073#6,,-97671331#0
,-22823721#1,,-537438903#1,31047273#0,,179260411#6
,101134277#1,,263941940#0,95396765#0,,680782193#1
,257357822#4,,264021710,,,69963040#1
,429714228,,264017864#1,,,680781432#1
,-297648255#1,,228056330#0,,,636502358#3
,149851229#3,,327402833#0,,,97671452#1
,46149190#2,,-181579868#6,,,-46151739#8
,335539645#1,,86867130#1,,,1245764639
,-131025950#3,,41519891#0,,,97671397#7
,131025950#3,,-34951880#3,,,690601667#2
,131156051#1,,254306532,,,23488891#0
,319196852,,682703706,,,23488888#2
,173954134,,1137751238,,,97671339#1
,1028244193,,32122466,,,667962678#1
,209210749#1,,31887177#2,,,97685742#4
,44883355#0,,1244284992,,,97671387#6
,-44883354#0,,42294745#0,,,269150811#3
,24060330,,128715173,,,893375978#4
,44838405#2,,31050815#1,,,97685761#1
,149136361#0,,-34951880#1,,,157292833#10
,-44883384#0,,46983934#1,,,95274372#2
,-45172605#1,,145569058#6,,,97671476#4
,30842114#1,,51771534,,,-355240125#3
,-22823722#1,,27085148#0,,,178988161#4
,-22823721#4,,31050815#0,,,240388168#3
,-562112859#0,,264069678,,,97671376#6
,1028258372,,-34951786#0,,,48037790#1
,388577163#0,,263865427,,,95274385#10
,-31237829#1,,753523080#0,,,97671394#1
,680781718,,145569102#0,,,95274385#7
,355202500,,264448295#4,,,24061029#7
,670065088#1,,139506059#2,,,95274397#0
,257357822#3,,-128715078#2,,,-95274339#0
,170624721#2,,355080033,,,240388168#0
,391633688#1,,-34951786#1,,,1245764637
,391633688#0,,128715160,,,97671327#1
,-131025971#0,,24989745#1,,,245069170#5
,46149185,,682699857#4,,,97671355#1
,548903448#0,,92204258#1,,,968060909
,23704735,,203035364,,,269150842#1
,44956025#0,,263881203#0,,,-680782188#9
,743545404#2,,228056329#0,,,-378284518#0
,198900395#0,,139506059#7,,,92223213#0
,-36688988#1,,-993372630,,,23489017#1
,45172804#0,,-537438903#3,,,342481198#2
,-257239012#0,,35216848#0,,,178988162#7
,257239012#0,,-231779274,,,60659451
,131156059#0,,22730620#1,,,198900384#3
,-44838842#0,,33625073#3,,,1031976632#0
,457308034,,41818364#0,,,97671476#0
,257239021#3,,32122426#0,,,690601667#0
,23488560#1,,264019964,,,1031976632#3
,23488561#3,,-264017864#1,,,680781432#2
,-44883382,,264448295#7,,,92223210
,-173954130#1,,254304963#0,,,-46151739#3
,667867185,,42294744#1,,,95274398#3
,-466032171,,145569102#1,,,-46151739#1
,-1027009174,,51933193#0,,,525293040
,-149136360#1,,34951863,,,-97685639
,-44883354#1,,41818367#4,,,492442417#0
,667959152#0,,139504332#3,,,95274398#2
,-131025950#2,,379075338#0,,,97671449#2
,-296690015,,89423678#0,,,95274349#4
,-131025941#3,,93470047,,,95274334#0
,269150833#0,,27085148#3,,,92223190#1
,131025957#3,,34951755#0,,,97671451#1
,332634091#6,,175994173#0,,,97671455#1
,350217575#4,,41818364#1,,,-355238450#0
,242897859,,-682703706,,,95274308#2
,580847356,,56255801,,,152413923#3
,24372978#5,,93325453#0,,,95274345#1
,46149193#1,,92204278#0,,,4848943#1
,355202490#1,,33625073#6,,,-1055857397#1
,930964332#2,,263935794#1,,,245069170#0
,1028619481#0,,44887720#2,,,-273211057#0
,332634091#1,,35216114#1,,,23488888#3
,170624716#1,,682712369#5,,,97671486#1
,682462417,,24989745#0,,,178899418#2
,170624721#0,,31624134#1,,,-24061029#10
,332634092#0,,93325429,,,636502358#1
,548938581#2,,34951880#2,,,269150837#0
,285677617#2,,-263935798#0,,,97671372
,46149025,,263956788#2,,,680782189#1
,261514199#1,,263935797#0,,,1113105796#0
,-680781425#3,,-263865427,,,-23488886#4
,4853035#3,,93325453#1,,,23488886#0
,-23488560#0,,-1298032332#0,,,97671387#2
,209210748,,537438903#7,,,95274349#7
,19922760,,-175987706#0,,,-95274380
,-23704733#0,,34951866,,,269150813#1
,562112859#1,,175987706#1,,,-46151739#6
,-220547267#2,,139506059#5,,,1055853354
,-45172805#2,,-128715078#1,,,229878534
,682476161,,-355080033,,,1031963663#2
,220547267#3,,-93325433#1,,,157292833#5
,-285664431#1,,262051128#0,,,273211096#1
,-131110319#0,,41818366,,,1069975920#0
,-131110355,,1057181619#0,,,178988161#5
,332634092#1,,33640827#2,,,97685621#0
,319196856#1,,264448295#8,,,856631371#4
,131110319#0,,408104677#0,,,680781437#0
,257357818#1,,-161966885,,,95274397#1
,173954139,,-503056675,,,-187797933
,388577166#2,,254326654#2,,,178988162#9
,-332634094#1,,89219856#0,,,97671338#1
,131025959#0,,24024043#0,,,157292833#1
,23488564#0,,254326632#6,,,157292833#8
,46149610#1,,-264459821#1,,,178989944#0
,-131025931#1,,866351232#2,,,95274354#1
,131156023#1,,280266451#4,,,264298077#5
,-22918541#4,,34950844#1,,,1245764640#0
,23488568#0,,956159245#0,,,58704022#1
,257357818#0,,33118878,,,198900392#1
,680781715,,89418354#3,,,119569977
,46149187,,24024042#1,,,97671476#3
,388577166#6,,32812356#2,,,245069170#4
,-350217576#0,,-24060958#2,,,-288444984
,350217576#0,,23260462#0,,,97685693#4
,-131025941#1,,572864358#1,,,245069170#6
,131025950#4,,149415581#0,,,1245764636#4
,1126633898,,-89418364#1,,,1031976629#1
,45172805#1,,-162324884,,,4848927
,1166015104#2,,-89430672,,,97671424#1
,-680781421,,46982284#1,,,-97671353
,-100102319#2,,181579907,,,492442417#2
,100102319#2,,77100164#10,,,97671339#0
,285664494#0,,-75259451#12,,,1245989824#1
,44838405#1,,89419994,,,1245989818#1
,-220547267#0,,89420432#1,,,1105285859#0
,257357802#1,,544270675#1,,,74314549#2
,-131025950#1,,254326644#1,,,31046486#1
,131025954#2,,570457257#1,,,97671461#4
,1028241264,,254326652#1,,,95274307#1
,333682045,,89419990#4,,,-245069170#5
,209210739#0,,32812366#1,,,-355239976#1
,-23488561#0,,24060958#13,,,1279121054#0-AddedOnRampEdge
,238836841,,178757958#1,,,97685747#0
,24372978#2,,-469105032,,,680781434#0
,1123711307,,33549498#3,,,-60659451
,645224082#1,,34950728#2,,,-97685670
,-680781430#0,,552131809#0,,,273211091#1
,-1028258366,,34949380#3,,,46151426#0
,209210756#0,,75259453#2,,,95274362#2
,-23488560#1,,-264459846,,,215959965#1
,376499341#0,,1177605680#2,,,95274385#1
,-238836841,,277789325#5,,,538982926#3
,-580847350#1,,34951010#0,,,97685612
,-1029279502#0,,437261899,,,-680782197#1
,-261514199#1,,34949380#0,,,1055857393#1
,267301957#0,,199311797#3,,,157292833#9
,267301957#1,,682693826,,,273211042#0
,-680781715,,463284094#3,,,46151739#4
,-680781716,,-265221588,,,-95274349#4
,149136360#1,,446324983,,,-97671411#2
,131110319#1,,543054885#3,,,157292833#13
,820360604,,-89417153,,,680781439
,4848752,,653297991,,,178988161#3
,44838842#0,,55686081#0,,,198900392#3
,-46148744,,458842531#3,,,97671376#4
,27242540,,580672559#0,,,1245764633#3
,998621641,,89420431#0,,,-1177591509
,-45172807#0,,-47127860#1,,,1279121054#0
,44884105#2,,199311794#2,,,1245147133
,131025961#0,,458283475#8,,,1069975921
,24803926#1,,254326632#3,,,-245069170#0
,746064104#1,,43550983#1,,,601322290
,44955970#3,,141597714,,,636502357#2
,45172804#2,,55686195#2,,,1055857395#1
,23488562#1,,591488198#0,,,97671397#1
,131156053#1,,75259453#3,,,680760292#1
,820214409,,33050418#1,,,680782193#0
,486067307,,1133878589#3,,,-23488886#1
,46149609,,89430684#0,,,1070720653#3
,388577160,,-89430681#0,,,342481197#0
,44883354#1,,-91848892,,,97671461#3
,1268288169,,89240073#3,,,1105285856
,269150824,,32812349#1,,,-95274398#1
,-131025954#0,,-91854853#1,,,97685712#1
,131025969#0,,41519033#1,,,97685696
,332634091#2,,24024045#8,,,680782188#0
,930964332#0,,459618758,,,97685711#1
,-46149615#1,,85568120#3,,,97671376#10
,23990056#1,,264459819#0,,,74314563
,46149605,,-95399107#1,,,1031976626#0
,-23704726#0,,32812345#1,,,135175650
,-44838841#2,,47072152#0,,,378279497
,23488561#2,,580672560,,,-355238450#1
,46149022#1,,265271590#3,,,95277522#0
,987136270,,-47072155,,,97671455#2
,987135428,,-24060958#1,,,1245764633#1
,-1165717964#0,,175403789,,,196380131
,-297648257#0,,665999473,,,97685645#0
,987135431,,545973314,,,178988161#0
,746064104#0,,89219857,,,4848945#0
,131156093,,328531825#0,,,689924124#4
,174022683#1-AddedOffRampEdge,,587067865#0,,,968060907#0
,174022683#2,,-89419986#0,,,680782193#3
,131156025#1,,584343267#3,,,273211091#9
,-36688988#2,,365354843,,,856631371#3
,-45172803#0,,72463458#2,,,273211091#8
,149136359,,24024045#11,,,198900396#2
,45174083#0,,91017767#0,,,95274378
,45174083#1,,-24024046#0,,,97671386#0
,24821259#0,,301494972#1,,,97685741
,388577164#0,,220470668#2,,,240388168#2
,-220547267#3,,89419987#1,,,27695601#0
,23350417#1,,24989774#2,,,97671366#1
,-45172803#2,,26322270#0,,,198900384#1
,1117138479#0-AddedOffRampEdge,,254326654#5,,,198900384#8
,1268123631,,-328531782#2,,,-1105285859#1
,27241672,,190730289#4,,,273211113
,680781428#3,,328531802#2,,,97671331#0
,31283064#3,,75259451#2,,,856631371#5
,577567019,,32812321,,,-355240125#5
,492432411#1,,91854817,,,178988162#4
,22823718#0,,-264459825#2,,,538982925#2
,680781430#1,,581953131#0,,,680760292#2
,131156049#3,,75259451#4,,,95274372#1
,335539644#0,,463284093#0,,,46151739#8
,1028619480#2,,41519033#3,,,1139284719#1
,44883357#0,,517921702#0,,,95274385#5
,-44883381#1,,254326637#2,,,676291217#0
,-23704726#1,,1021405848,,,187797935#0
,23704726#0,,562912001#2,,,1245764638#1
,22823722#0,,265271589,,,-680782188#6
,680781712,,86867128#0,,,74314558#1
,36688988#1,,34951246,,,198900384#5
,36688988#2,,170598722#1,,,-680781434#0
,-44883380#2,,-89417144#0,,,-24061029#9
,45173867,,-1133878592#1,,,97685761#2
,45172606#0,,72463512#1,,,-23488887#1
,46149022#0,,81606324#3,,,97685747#1
,24372978#3,,34949380#1,,,203301442
,297648257#0,,89206670,,,40969591#0
,-297648257#1,,-34950844#1,,,46151427#0
,24372990#1,,34951010#2,,,1031963665#1
,-44883380#1,,516537246,,,820180321
,44883380#1,,89430682#2,,,-1055857393#1
,131025929#2,,24024043#3,,,1245764635#0
,304919603#0,,328531802#8,,,97671426#3
,333682042#2,,-33118878,,,97671343#2
,-46149194#0,,149415593#2,,,273211041
,-23704749#1,,531013210#0,,,97671385
,135195086,,280266451#1,,,95274354#0
,39629447#4,,-23260462#0,,,264298077#2
,171300278#1,,89828152#1,,,198900396#3
,1265766814#0,,570457257#2,,,240392347#2
,209215786#2,,62361251,,,97671387#5
,22823716#0,,217860244,,,-680782188#7
,31283064#2,,89418356#1,,,97671376#9
,332634092#2,,81606325#0,,,157292833#14
,1028244194,,-866351232#0,,,97671461#0
,682462418,,55686075#0,,,-172598552#0
,387312971#1,,-89420432#1,,,680782188#9
,23704726#1,,-776857042,,,378284518#0
,22918541#5,,33627869,,,97671376#11
,1165717964#0,,543023530#1,,,-601322290
,266086958,,33640794#10,,,178989944#3
,405795839,,-570457257#1,,,178988162#6
,1268288167,,228056327#0,,,58704022#4
,44884663#0,,190730289#0,,,-680782193#0
,568498789,,32812366#4,,,240388169#2
,511081977#0,,32130055#0,,,97671386#1
,24821259#1,,460851984#6,,,95274374#0
,-24372996#1,,33050410#0,,,97685711#3
,-667867184,,33118881#1,,,95274348#1
,46149610#2,,1104675206,,,97685742#3
,-1028619483,,562912001#1,,,242897855
,1028619496#2,,254326626#1,,,97671396#0
,22823721#2,,464000322#1,,,95274385#4
,171300277#1,,48391175#0,,,23488890#0
,257239011#0,,181579920,,,269150842#4
,24372991#4,,170598719#0,,,157292833#12
,-930964332#2,,264459825#0,,,355238450#0
,746064101,,264459843#8,,,97685761#4
,-24060330,,-543054885#4,,,538982925#0
,1029279502#0,,-24060958#6,,,1055857394#0
,400830346,,-367360995,,,1031963663#1
,265010616#0,,458089581,,,-680782193#3
,257357812#4,,264459819#3,,,163198815#2
,335539644#1,,91854868,,,215959964#0
,45177678,,89240073#2,,,97671476#1
,1165717963#1,,-682693826,,,95274380
,45017540,,-463284093#1,,,97685742#1
,297648261,,89418357,,,97685687
,44838842#1,,41519038#4,,,46151739#6
,388577161#0,,81606324#8,,,-97671458
,584188113,,23260462#4,,,172598637#4
,584188115,,512044960,,,1245764634
,-46149185,,46982301#3,,,163198815#6
,265010588#2,,-43550255,,,54786433#1
,27241671#0,,33050419#2,,,27695601#1
,680781714,,34998006#5,,,273211091#6
,-36688988#0,,55686275,,,97671478#0
,131156087#1,,24024045#0,,,95274372#0
,-426816157,,-264459842#3,,,636502357#1
,1028258364,,254326646#0,,,97671480#3
,209366310#0,,509241395#4,,,-24061029#3
,-171300262,,199311794#6,,,187797933
,-45172804#5,,463284095#3,,,74314562#0
,645224085#1,,89420432#0,,,97685693#0
,645224085#0,,26322270#2,,,23770583#3
,24053246,,-541902883,,,58704022#2
,548903448#4,,46982270#0,,,4848943#2
,391633685#0,,543209655#5,,,95277522#1
,-46148745#1,,-89419986#1,,,1245764636#3
,-44883356,,-91854884,,,273211091#5
,45174138#0,,464558883#0,,,286434746
,44955970#4,,958537535#2,,,97671427#2
,45172604,,85568120#2,,,-525291477
,-45174083#0,,-75259451#7,,,-187797935#0
,-335539638,,217858092,,,97685630
,46149188,,89213772#0,,,97671426#0
,491027863,,584343268,,,893375978#2
,304919602#3-AddedOnRampEdge,,-459618758,,,95274313
,131156057#0,,-91854870#1,,,74314557#0
,743545405#1,,46982708,,,269150811#0
,-45172804#2,,557375051#2,,,97671353
,-44838407,,89419992#1,,,240388169#8
,694540174,,544812705#0,,,-378279504
,951326912,,1177605680#3,,,1031976626#1
,951326913#0,,31610667#0,,,97685672
,-45017437,,24989774#4,,,-355239976#0
,269150818#1,,509241395#2,,,1085022605#1
,44955971#0,,386286309#0,,,1085022609
,46149023#0,,72463458#1,,,97685621#1
,296689963#2,,89418355#1,,,95274372#3
,680781431#0,,581953131#2,,,355239976#1
,44838407,,24024042#2,,,1245764636#0
,-355202500,,89430678#3,,,97671459
,-198900393,,254326654#0,,,-24061029#8
,-27241669#3,,552131805,,,240388168#4
,23704749#0,,193618812#3,,,58704022#0
,-131025941#0,,91854875#1,,,97685776
,-44884663#1,,544812705#3,,,1085022605#4
,44884663#1,,43550983#2,,,-46151742
,682445842#0,,-301494972#1,,,97685670
,682445842#1-AddedOnRampEdge,,220470667#1,,,97671386#3
,-173954118,,277789325#2,,,95274385#8
,36688988#3,,543209655#0,,,240392347#0
,131110355,,162324885,,,97671396#1
,1028241262,,1025830855#0,,,97671366#2
,388577163#1,,193618812#13,,,478293893#0
,-44883381#0,,543055421#0,,,97671480#2
,609968226,,503056674,,,1245147140#1
,466032165,,89430686#0,,,690984489
,682445842#1,,23260462#2,,,97671472
,209210744#0,,501179305,,,1245989818#0
,24372996#1,,149415593#1,,,97685712#2
,198900394#1,,254325085,,,680782197#0
,-354858504#1,,89430683#0,,,1234173061
