origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
6,5,138118.54344075042,999999,8,5,1
1,0,138120.87693386702,5,5,999999,1
1,6,138124.53984538544,999999,3,8,1
5,2,138133.2007077147,6,3,999999,1
5,5,138135.64041162794,4,2,999999,1
8,8,138136.47242042152,999999,1,4,1
1,1,138136.86213409,999999,5,4,1
6,6,138145.443910598,999999,5,5,1
6,4,138145.54735175185,1,999999,5,1
5,5,138147.41814765928,6,999999,2,1
1,5,138149.59046985756,999999,0,4,1
8,5,138149.6780633828,999999,8,0,1
1,3,138151.7627467326,999999,3,5,1
1,6,138153.797976575,999999,6,0,1
5,6,138156.02901171683,999999,0,6,1
5,2,138162.2136584434,999999,999999,6,1
6,6,138163.98171469022,999999,8,6,1
1,0,138165.8397426931,999999,1,6,1
4,5,138167.78949879954,1,4,999999,1
5,5,138175.4662272586,999999,999999,6,1
5,2,138176.96972851653,999999,5,7,1
1,5,138180.22868975034,6,999999,6,1
5,4,138185.9023681871,999999,2,1,1
5,3,138187.56440808106,999999,5,6,1
5,2,138189.80060814996,5,999999,0,1
1,6,138193.54804535475,999999,5,5,1
2,4,138201.4864062716,999999,8,6,1
6,6,138202.26359969418,999999,2,3,1
8,5,138206.7527938396,999999,6,1,1
5,8,138207.2660887751,999999,5,2,1
5,6,138207.58914189023,1,5,999999,1
6,2,138211.4762133921,999999,0,5,1
6,1,138214.42996319584,999999,5,6,1
6,8,138216.84615292618,2,999999,4,1
5,5,138217.64962331942,999999,4,6,1
6,6,138220.17314494713,999999,1,0,1
5,5,138224.14746418732,999999,1,5,1
5,8,138225.7586449361,1,999999,2,1
6,5,138226.17630465448,999999,2,1,1
6,4,138229.03177332837,999999,1,5,1
6,5,138231.1988324578,3,6,999999,1
5,1,138233.36398541264,999999,6,5,1
6,2,138233.44537124143,999999,0,6,1
5,8,138236.2591371414,999999,6,0,1
5,3,138240.8369626622,999999,1,2,1
6,1,138242.77953880304,999999,8,5,1
2,1,138245.90993855795,999999,1,3,1
5,5,138246.12953194074,4,999999,5,1
1,8,138254.06572429583,999999,6,5,1
5,5,138256.53457983452,999999,0,2,1
8,6,138256.7633376275,6,999999,6,1
5,8,138257.65946278578,999999,3,0,1
8,7,138258.48856951855,999999,3,1,1
5,2,138260.08009843153,999999,2,0,1
6,4,138266.18181817015,1,999999,3,1
4,6,138267.6292572114,999999,5,0,1
1,4,138273.270739231,2,1,999999,1
6,6,138276.88826122537,1,999999,5,1
5,5,138279.72862809818,999999,5,5,1
6,6,138281.10034033208,999999,6,2,1
5,1,138284.4739920519,999999,8,6,1
6,4,138297.03208427306,999999,4,6,1
8,7,138300.16148858162,999999,5,0,1
5,4,138303.79182017455,5,6,999999,1
1,8,138305.65817561946,999999,0,8,1
6,6,138305.84637735004,999999,6,6,1
4,3,138305.95302774076,999999,4,5,1
4,6,138306.39052679768,999999,6,8,1
6,6,138307.54555799605,999999,6,6,1
5,8,138312.1649731584,0,999999,6,1
1,4,138312.40622759983,6,8,999999,1
5,3,138313.10863914402,8,999999,6,1
6,4,138316.7703457499,999999,6,1,1
6,1,138318.54785324138,0,999999,5,1
5,8,138319.46746206246,999999,4,3,1
1,3,138321.5978908929,999999,6,6,1
5,5,138323.6570649799,999999,1,4,1
1,6,138327.26233174262,999999,5,7,1
6,1,138334.3453777669,8,2,6,1
5,8,138339.46489291967,6,999999,5,1
5,5,138345.05980853635,999999,8,0,1
1,2,138345.44570629855,999999,0,0,1
5,5,138347.4647081255,999999,2,0,1
6,3,138362.92322986602,999999,5,6,1
4,4,138364.95409888917,999999,2,5,1
5,1,138365.5156948167,999999,0,0,1
4,5,138372.94184269398,5,999999,3,1
6,5,138378.33492741996,999999,6,1,1
1,1,138379.42136558876,5,999999,1,1
1,6,138379.62095969485,999999,3,8,1
1,6,138381.32762872576,999999,1,2,1
5,6,138382.2050768024,999999,8,6,1
8,6,138383.55253484097,3,999999,1,1
5,6,138388.57593680613,2,999999,5,1
5,0,138390.95493674494,999999,2,5,1
6,5,138395.61550013375,0,999999,1,1
6,8,138398.9440063733,999999,6,5,1
5,2,138403.54391609528,6,999999,3,1
5,6,138404.67850826844,5,999999,3,1
4,8,138411.90004989438,999999,8,2,1
1,4,138413.50679995277,999999,1,5,1
5,5,138416.94281904577,999999,3,5,1
6,5,138417.74614851212,8,999999,6,1
8,1,138421.2771860511,999999,5,4,1
5,5,138428.48934711554,999999,5,8,1
4,3,138432.78491481653,999999,6,8,1
5,2,138432.92751745207,999999,4,0,1
5,3,138444.58545919124,1,999999,5,1
1,2,138446.39423417352,999999,4,3,1
1,4,138451.8160288439,999999,8,6,1
6,6,138452.0258321361,999999,6,2,1
8,6,138452.9949350904,2,999999,6,1
1,1,138453.53788506755,0,5,999999,1
5,6,138454.2789461901,999999,2,0,1
5,2,138456.23805807988,999999,5,0,1
6,2,138458.4103983245,999999,5,5,1
5,0,138459.55928068518,999999,2,4,1
5,5,138466.07827291082,999999,4,6,1
4,1,138468.78920896476,999999,3,6,1
5,8,138469.9915394682,999999,5,2,1
5,3,138470.03221993404,999999,6,6,1
4,2,138470.24215914932,999999,5,6,1
1,6,138471.79404286435,999999,1,5,1
4,6,138474.18952893425,5,999999,6,1
5,6,138474.84564027732,999999,1,8,1
1,3,138479.2130575507,999999,1,5,1
6,6,138481.10515963117,8,1,999999,1
8,1,138481.35597150066,999999,5,5,1
5,6,138481.68871180253,999999,3,5,1
5,6,138485.42601901674,999999,7,1,1
6,1,138487.29502860093,999999,5,6,1
5,5,138488.1360037938,999999,0,4,1
6,1,138488.43175250167,5,6,999999,1
5,6,138493.26554330147,5,6,999999,1
6,1,138493.90911488992,999999,5,1,1
5,8,138498.26646093506,6,999999,8,1
1,5,138500.8988714286,6,0,6,1
6,4,138505.1629092534,6,999999,8,1
4,2,138513.62927677415,999999,6,0,1
6,1,138516.23159612084,999999,5,6,1
2,0,138519.35822693212,999999,1,8,1
4,4,138521.61667899793,999999,1,5,1
5,2,138526.41650410436,999999,5,5,1
5,0,138527.85414168434,999999,6,6,1
4,5,138534.93672718378,999999,1,0,1
6,6,138536.1022351991,999999,6,3,1
6,5,138536.1180612579,999999,8,5,1
5,5,138536.26252635222,999999,0,3,1
8,5,138541.95518501158,999999,0,6,1
4,8,138543.2377600631,1,999999,6,1
