PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,平井町,16000000,330000,,155,100000,ほぼ整形,9.5,, ,,,,東,市道,4,市街化調整区域,70,200,2008年第1四半期,,,松山市9区,平井町,132.835118,33.823296,7
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,平井町,55000000,,,1100,,不整形,,130,1985年,木造,住宅、事務所,,北東,県道,9,第２種住居地域,60,200,2008年第1四半期,,,松山市9区,平井町,132.835118,33.823296,7
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,平井町,35000000,,,170,,ほぼ長方形,12.5,105,2008年,木造,住宅,,東,市道,4,市街化調整区域,70,200,2008年第1四半期,,,松山市9区,平井町,132.835118,33.823296,7
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,平井町,15000000,230000,,220,68000,ほぼ台形,9.2,, ,,,,西,市道,5,市街化調整区域,70,200,2008年第1四半期,,,松山市9区,平井町,132.835118,33.823296,7
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,本町,1400000000,,,1300,,ほぼ正方形,35,9999,1991年,ＳＲＣ,駐車場、その他,,東,国道,30,商業地域,80,400,2008年第1四半期,,,松山市2区,本町一丁目,132.758441,33.841652,0
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,本町,2300000,,１Ｋ,20,,,,,1981年,ＳＲＣ,住宅,,,,,商業地域,80,400,2008年第1四半期,改装済み,,松山市2区,本町三丁目,132.758695,33.846425,0
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,本町,7300000,,３ＬＤＫ,60,,,,,1975年,ＳＲＣ,住宅,,,,,近隣商業地域,80,300,2008年第1四半期,改装済み,,松山市7区,本町四丁目,132.758643,33.848493,5
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,溝辺町,11000000,,,270,,ほぼ台形,22,180,1964年,木造,住宅,,北,農道,3,第１種低層住居専用地域,50,80,2008年第1四半期,,調停・競売等,松山市8区,溝辺町,132.809004,33.851193,6
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,南梅本町,23000000,,,150,,不整形,4,95,1991年,木造,住宅,,北,市道,4,第１種中高層住居専用地域,60,200,2008年第1四半期,,,松山市9区,南梅本町,132.840799,33.800713,7
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,南吉田町,4900000,,,115,,長方形,9.2,65,1970年,木造,住宅,,東,市道,3.3,準工業地域,60,200,2008年第1四半期,,,松山市21区,南吉田町,132.703275,33.826325,14
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,御幸,24000000,340000,,230,100000,ほぼ長方形,14,, ,,,,南,市道,4,第２種中高層住居専用地域,60,200,2008年第1四半期,,,松山市7区,御幸一丁目,132.768077,33.856641,5
