origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
6,5,44406.98059527715,999999,6,8,1
6,6,44407.22385028284,8,999999,2,1
1,4,44408.9910116592,999999,6,8,1
5,0,44410.36632266014,6,6,999999,1
5,6,44410.36632266014,999999,2,3,1
6,2,44410.36632266014,999999,1,5,1
5,5,44410.710950362874,999999,1,1,1
6,1,44410.710950362874,6,999999,6,1
5,5,44415.874321919495,999999,3,0,1
5,8,44415.874321919495,5,999999,1,1
5,2,44422.48554641268,4,999999,4,1
5,8,44422.48554641268,999999,8,6,1
5,0,44426.061360706684,8,6,999999,1
6,2,44426.18470917735,4,1,999999,1
5,5,44426.51838750754,0,999999,1,1
4,4,44427.03730273743,8,999999,6,1
5,6,44427.03730273743,1,999999,8,1
6,4,44427.03730273743,5,1,3,1
6,7,44428.87257970627,999999,2,1,1
5,7,44429.53125984383,999999,6,3,1
5,8,44429.53125984383,999999,2,5,1
5,6,44429.684506017344,999999,0,1,1
6,2,44429.684506017344,4,999999,5,1
4,6,44433.061475215814,999999,4,0,1
5,6,44433.061475215814,999999,2,4,1
5,0,44435.93478553282,5,999999,8,1
5,1,44435.93478553282,999999,4,3,1
6,6,44435.93478553282,1,1,5,1
8,6,44436.019818167915,999999,6,5,1
6,0,44439.453049473566,999999,2,8,1
4,8,44439.95932111345,2,999999,1,1
5,2,44439.95932111345,999999,5,3,1
1,6,44447.23660015748,6,2,5,1
2,1,44447.23660015748,8,6,999999,1
6,2,44447.48774345513,999999,7,5,1
6,0,44449.39504382479,5,999999,5,1
5,6,44449.543698867536,4,1,999999,1
1,8,44451.298016554865,2,999999,1,1
5,6,44451.298016554865,6,0,999999,1
6,3,44451.298016554865,999999,2,0,1
5,5,44468.818503249735,999999,5,0,1
6,2,44468.818503249735,999999,1,5,1
6,2,44472.41607912457,999999,7,5,1
6,7,44472.41607912457,999999,5,6,1
6,8,44472.41607912457,5,999999,4,1
6,0,44475.390940335645,999999,1,0,1
6,5,44478.131141067126,1,6,5,1
8,2,44488.42877245678,999999,0,6,1
5,5,44489.14922576432,5,4,1,1
5,6,44489.14922576432,999999,999999,1,1
1,3,44499.32679689389,999999,6,5,1
4,5,44508.84523617389,999999,2,8,1
5,5,44509.650772984714,999999,6,3,1
5,0,44516.52762931736,999999,8,5,1
5,4,44526.92184580111,999999,3,0,1
1,0,44537.31839796452,999999,2,1,1
5,6,44537.31839796452,6,8,8,1
6,7,44537.31839796452,999999,6,2,1
4,5,44544.52854293531,999999,5,3,1
5,4,44544.52854293531,999999,1,1,1
5,5,44553.31310412324,999999,4,7,1
6,1,44554.803382477265,2,5,999999,1
6,8,44554.803382477265,999999,6,4,1
5,2,44559.33556428659,999999,5,6,1
5,5,44559.33556428659,999999,8,1,1
6,2,44559.33556428659,0,999999,5,1
1,6,44563.877640547464,999999,5,0,1
1,1,44569.257520243395,999999,5,6,1
4,6,44569.257520243395,5,999999,6,1
2,3,44572.19061359866,999999,7,8,1
8,4,44572.19061359866,999999,5,0,1
5,8,44581.4218328287,999999,6,5,1
6,2,44581.4218328287,1,999999,5,1
8,4,44581.4218328287,0,999999,6,1
5,8,44596.17581552826,999999,999999,4,1
1,6,44604.61553958832,999999,5,1,1
5,5,44604.61553958832,999999,1,6,1
6,4,44604.61553958832,8,999999,5,1
4,4,44607.737633716344,999999,6,3,1
6,4,44607.737633716344,999999,6,1,1
4,1,44608.7755882148,999999,999999,4,1
5,2,44608.7755882148,999999,1,0,1
6,1,44608.7755882148,999999,3,0,1
4,5,44609.99557600416,1,6,999999,1
5,5,44609.99557600416,999999,8,1,1
8,4,44609.99557600416,999999,0,7,1
6,4,44618.441547532144,999999,6,999999,1
6,6,44618.441547532144,8,1,999999,1
5,2,44619.457266253165,6,999999,3,1
5,4,44619.457266253165,999999,4,5,1
6,3,44619.457266253165,999999,8,3,1
1,6,44619.48759865389,999999,6,2,1
